Title,User,StarsRating,Date,ReviewText
Loud and impenetrable,Quinoa_Chris_Kirk,1/10,8 February 2023,"A man on an international mission to save the world from the deadliest weapon of all, the future.

Two moods: excessive incomprehensible exposition and LOUD incomprehensible action sequences. At no point do you know what is going on, nor are you given any reason to care. It is at all times tedious, meaningless and irritating. None of the characters are remotely interesting, much of the dialogue is inaudible and the ridiculous convolutions add up to nothing. And this cost over $200 million to make.

Here Nolan has retreated deeply, unpleasantly and unforgivably into his own idiosyncrasy and left his loyal audience scrambling to come up with excuses for him."
Didn't finish watching it !!!,jayydee3,5/10,5 February 2023,"The main actor is not great. Mumbles his words, his appearance doesn't fit in with the people he is dealing with and no class. Not a James Bond type at all. The story was confusing and and far too long to keep your attention. Not exciting and certainly not believable as far as the main actor went. I think it had the makings of a very good file if the casting had been different in the main roles. This turned out to be just a mess. I got to the point that I just couldn't watch it any further and turned it off. Could have been much better with some more experienced actors and a better script. All in all very poorly done movie."
Too clever for its own good - just as another reviewer said,kambomambos,2/10,5 February 2023,"Had potential but way too complicated. Had to watch with subtitles and continuously rewind to work out what was going on - even then we were unclear. If it was simplified a little and the dialogue made clearer (in every way) it would have been much more enjoyable. Put aside an extra hour for stopping and rewinding if you're gonna watch this one.

Well acted and characters were solid but if you can't hear what they are saying, particularly when they are talking non-sensical physics and time travel it's very difficult to follow. Good cast, great effects but without clarity it's unfortunately a frustrating waste of three hours."
basic premise is stupid,cleeds-27588,1/10,31 January 2023,"The basic premise is that a scientist in the future invents time reversing devices, regrets her invention as too dangerous, so instead of destroying it she decides to send them back in time to out present, where a mad Russian oligarch somehow discovers all this and decides to use the invention to destroy the present world because we are destroying the environment - quite how or why he thought this would work is never mentioned, because it is too ridiculous. That, or we just have to accept that he is mad, or the future people told him it was the only way. He does it because he is dying and his madness makes him think if he can't live then no one else can either - or something. It is not clear which, so pick'n'mix as you like. Time travel movies never work. Never. Basically it's an excuse for a lot of Bond style fist fights, explosions, crashes, car chases, random violence. As with Bond, the baddie has an unending supply of incredibly gullible and stupid helpers all over the world who are quite happy to be killed and maimed on his behalf, and set off these devices on command from the baddie as he lounges on his mega-yacht. Just terrible."
"In a few words, a waste of time...",jesusroblesazul,5/10,31 January 2023,"Well, I could suffer much more with this absurd movie, but i was enough wise to avoid the suffering. Why people try to understand garbage like this? When at a first sight you can see the final result: a protagonist without personality, scenes plenty of unnecessary violence, excess of special effects, and at last an clumsy attempt to make up the mediocrity of the film using some well known actors with no results. I can accept mister Nolan isa very distinguished director. In fact, I enjoy very much most oh his work, but this time, what Can I say: this work is a failure in many ways, a very boring movie in despite of all the action the director adds at any moment. Anyway, a waste of time..."
My head hurts,benpulford-82589,10/10,29 January 2023,"I've watched many great films that the more I watch, the more I understand the plot. But, with this film, the less I understand it!!! Why? Why? Why? How the heck did Meister Nolan get this past the producers? Not that I'm complaining. It truly is a great, great film. It's just...that it defies all logic. Is Christopher Nolan from the future? I was intrigued to note there is a reference to Oppenheimer in the film and as we no know Nolan is making / has been making a bio-pic about Oppenheimer. Or is that statement a spolier? Is a spolier a spolier if it's written in the future about the past? Or is it - is a spolier a spolier if it's written in the past about the future? My head hurts...for all the right reasons. Very much looking forward to Oppenheimer!"
"For all its ambition, 'Tenet' is a mushy glob of nonsense.",punch_p,3/10,29 January 2023,"This summer, in anticipation of the release of Tenet, I wrote a piece defending the position of Christopher Nolan as not merely a filmmaker of huge commercial clout, but as someone whose quality of work on an artistic, cinematographic, and emotional (yes, I wrote that!) level merits proper appreciation too. I did post a warning though that Nolan's increasing reverence for tech and his control freak tendencies were threatening to outweigh that lovely dichotomy he had always been able to blend between all things genre and his metaphysically-inflected narratives.

With Tenet, Nolan totally oversteps that line and has turned in a work that runs dangerously close to self-satire. While I would argue his previous ten films have always possessed some portion of an emotional edge amid the viscerality of their storytelling, Tenet is, simply, a spectatorial dead weight. It is completely lacking in tension and is just a film endlessly stuck in the cycle of explaining and justifying itself and its conceit (perhaps an unintended, ironic echo of its central theme of inversion). Copious exposition is nothing new to a Nolan film, but comprehensiblity and an emotional core always co-existed with that philosophical bent. Even Memento - a film which loosely echoes the tricks of Tenet with a focus on a narrative being played in reverse - was able to conjure three-dimensional character arcs out of those thematics. In Tenet, however, the characters remain (unintentionally) flat, which is borne out when the Protagonist's climactic conversation with Neil and his one last look at Kat don't carry the dramatic pay-off Nolan is clearly angling for.

Even in Nolan's lesser guise as a purveyor of spectacle, Tenet falls flat. For all the lustre, gravitas and awe Nolan applies to his action sequences (I'm thinking about the exploding jumbo, the billionaire's yacht, the racing boats), he's unable to aestheticise these for his audience the way his idol, Michael Mann, can. It's because Mann's action scenes are always connected to the ethics and emotion of his stories, whereas Nolan's function as extraneous gorging on extreme financial, technological and industrial might."
Whoa...if you thought 'Inception' was mind-blowing...just wait!,cochrandarin,8/10,29 January 2023,"Ok, I had to watch Inception about 3 times to, uh, get it. You'll have to watch this one about five. The concept is mind-blowing with the whole inversion of time and reversed entropy through the continium, or...something like that. Basically, folks in the future have figured out how to send something traveling backwards through time. So, future bullets that have already been fired are sent spiraling backwards and end up back in the magazine of the gun someone is holding before they've even fired it. If that sounds complicated, just wait till cars and humans start going backwards. The complex part is when they all start meeting themselves and the plot folds and unfolds...is revisited...is changed...is observed by their other selves just across the battlefield...etc. Etc. Etc...you get the picture. All the while, our hero (who is not named and is just referred to as the 'Protagonist') is trying to thwart this dangerous technology, which has obviously ended up in the wrong hands, from destroying the world. Not by sending a nuke back into the hands of Hitler and the SS, but even worse; Using some kinda complicated math algorithm to create a doomsday bomb. Or at least I THINK that's what he was doing. I tried to tell my 9th grade Calculus teacher that not only was math useless, turns out IT's DANGEROUS!!

Anyhow, the acting is great. The lead guy does good. Robert Pattinson from Twilight fame, is the lead character's, uh...side-kick and he does just fine. Elizabeth Dibicki does great as the...well, it's complicated. You'll just have to watch and figure it out for yourself. The truth is, you could say that about most of this movie. The plot is so complex and quick-moving that we found ourselves rewinding many times to review a line here and there that was important to what was going on. I think I'm a fairly smart guy, I have a doctorate and even an undergrad bachelor of science degree. I have even written a sci-fi book, so I thought I would 'get it' maybe a little better than the average fella walking through Walmart that works as an auto mechanic (no offense to that line of work) but even I felt myself raising an eyebrow many times while watching this movie. It's so confusing at times that I even asked my bunch; ""How many average folks would have turned this off by now?""

It's not to say that it isn't entertaining. It's definitely original and the special effects are beyond mind-blowing and it redefines the phrase ""plot twists""!

So, give it a try and be prepared to plan on watching again, and maybe again. Grab a plate of chocolate chip cookies and pull up a sofa by the fire on a weekend night with the fam when you got nothing stressful on your mind to distract you. You'll definitely need a clear head to try and navigate through this one.

Enjoy...."
Nolan really wants us to believe he is a genius,LawrenceLambleg,5/10,29 January 2023,"I'm honestly baffled how could a director with an incredible debut like Memento go so far down his own rabbit holes.

Plot - pretty original and very cool concepts, but so poorly executed. Whatever works in this movie is quickly ruined by exposition.

Pacing - too much action, too much dialogue you keep missing because of loud music and too much noise. They tried to cram so much stuff in two and a half hours and this movie could easily do without half of its content.

Dialogue - there are no characters in this movie. The only purpose of every character is to tell you where the plot is going, just in case you were too stupid to figure it out. So there's no dialogue really. Just Nolan holding the viewer's hand through this mess of a movie through different characters. So when the characters speak to each other, it feels like you're watching the director's commentary rather than an actual movie.

Acting - both Pattinson and Michael Caine are wasted here. Washington doesn't have a character. His character doesn't even have a name, he is called ""The Protagonist"" and the big plot twist of this movie is that he IS in fact THE PROTAGONIST. Bravo, Nolan! Kenneth Brannagh plays every Russian villain you've ever seen in campy 80s and 90s action movies. He is the worst thing about this movie in my opinion. If they hired someone better to play Sator, I would've at least had some motivation to sit through the movie. It's not most of the actors' fault that they don't have actual characters to work with, but Kenneth Brannagh really screws this up.

The ol' switcheroo of continuity - the entire second half of this movie is just one big continuity error. This is probably the most unforgivable crime that this movie commits. Nolan seems to just switch the reversal of time on and off to make this contrived plot work. You see the entire world supposedly go into reverse, but all of the characters are moving forwards in time so you can follow the actual plot, even the ones that aren't ""inverted"". If they really committed to the time reversal, it would've been beautiful, but no... characters keep ""inverting"" themselves for the sake of comprehensive storytelling. You watch the movie, then you get confused by something that doesn't make sense and a character appears not a second later to tell you ""ah, you see... I inverted myself back then... so now I'm dead, but actually I was dead..."" Yeah, sure... You really wanna blow us away, Nolan? Don't do a half-assed attempt at time-reversal where everybody talks and walks normal. Make the second half actually reversed... It would've been way better to be confusing, rather than just pretending to be clever. The movie explicitly tells you ""don't try to understand it"" and then feels the need to keep explaining itself to you for two hours... In its best moments this movie had no exposition. If Nolan lets things just happen without any pointless explanation, I think his movies would've been way better than they are."
It's different,thisisstepercival,6/10,27 January 2023,"Christopher Nolan is undoubtedly a great filmmaker, although personally I find his films very hit and miss - The Dark Knight is outstanding and even played as a straight cops and robbers movie instead of a superhero film that still stands. Likewise with The Prestige, another simply perfect film. On the flip side of that he gives us say, Dunkirk which for me was more than disappointing. Anyway, Tenet falls smack back in the middle. It's not a masterclass in filmmaking nor is it disappointing. It looks incredible and it's action packed and full of the trucks you'd expect from a Nolan film. However, it's just too convoluted and hard to follow. It's a bit too clever for its own good which sometimes can be a good thing but to most casual viewers it's just not worth the effort. I have watched it 3 times now and I admit it gets better with each viewing but you probably shouldn't need to watch something half a dozen times to fully grasp the story or what's going on. If you struggled with Inception then seriously give Tenet a miss it'll just leave you with a headache. If you want to watch it to be dazzled by jaw dropping set pieces then give it a go. It's not a bad film it just pushes filmmaking to new limits which isn't a bad thing.

On a footnote it would be interesting to see what Nolan could do if he was given the opportunity to helm a Bond movie because there's possibly no-one better at action sequences around right now."
Great idea - told mediocre,spam-778-616598,6/10,26 January 2023,"The idea is great, the plot points should work for most people - but it's told in a too confusing way. And I love complex stories! This just wasn't written very well. The special effects were great, of course, but the heroes goal was missing and the reason why we should care for him. It was all too confusing - I couldn't remember the characters or their stories, I didn't get most of the connections ... and that's coming from someone who loved a truly complex story like Dark. What looked extremely promising, turned out quite boring - my husband fell asleep at the end, because he couldn't follow anyway anymore. I say it's worth a watch - because the idea was great after all."
The thing on which the movie is built,Zeyders,7/10,25 January 2023,"Christopher Nolan's films always delight with their ideas, the quality of the films, and this film is no exception. But the film has its pluses and minuses in every moment.

The main thing on which the film is built is made qualitatively and difficult, but the explanation of this chip lasts almost the entire film. The whole main plot is built on this concept, which can't be called a minus, but also can't be a plus. The characters are not revealed, but the main characters are memorable. The special effects, the only thing, remain unqualified because Nolan prefers to recreate them live.

It's a good movie to watch. Interesting action, a concept that you see for the first time in movies exactly like this."
Complex or complicated?,tpvmpdbm,6/10,24 January 2023,"Tenet really wants to be a complex movie which feels like something you can not understand. And this kind of overwhelming story works. But to be honest it doesn't work to me.

It's not really complex...you just can't understand what is going on because the scenes are switching so fast, you are always busy to follow it.

At least the characters are not overwhelming. But in favor they are boring. You can not feel with them or see any progress they are going threw. They are just random characters who you will forget if you are rewatching tenet in the future.

But also it is really interesting to watch and challenging your mind. Can you follow the story the first time you are watching tenet? Maybe yes or maybe not. It doesn't matter because it is not a movie you should understand and this is what makes it complicated and not complex...even if tenet wants to be complicated. After the first time you haved watched tenet there is nothing you can think about and just your aha-moment of understanding what the heck was going on the last two hours."
It requires a lot of complex aches,dr_hgj-48231,10/10,22 January 2023,"C Nolan must be clapped as his team gave yet another complex scientific but confusing mixtures of all possible twist n turn exploring reversible time machine, reversing even physical, chemical, emotional,, all.... nal and....... cal limits crossed in confusing the film watcher. Has taken every possible filmy imaginary summersaults ways of impossibilities.... Giving current focus of Uranium, relationships, interest what next alive, fights, stunts, modern gazzets, reversible bullets weapons, every thing except human grid negativity kept growing!!!! Has mixed the current affairs, event reference, good acting, Music back ground sound effact, mono chrome color code to very high level. His reputation is built on still keeping Interest alive! Many youtubbers explaining the movie will flourish and will surely have newer verdict... I rate 10 so as not to do injustice to any section. It is mental excercise."
A feast of vision and thought,s-19392,8/10,22 January 2023,"I am a loyal fan of director Nolan. I have watched and enjoyed every film of his without exception. I think he is the director who really understands the art of film. For this film, I call it the feast of vision because I am really affected by every shot of it. Every shot, every picture, and every frame are individually captured as a work of art. In terms of the overall picture environment, this is the only work I feel comfortable with. In other words, I want you to watch it again. This is a very difficult thing for a science fiction film, And the director did it, which really made me very happy. The above is my feeling from the perspective of direct sense. Next, let's talk about the plot. As usual, I don't talk about the details. I admit that I may be a little stupid. When I saw the film for the first time, I didn't see the specific content of the story. The specific story is really a little complicated, but one thing is worth affirming. Although the story is complex and difficult, But there are no films with complex plots, which annoy the audience. After seeing them, they will never watch them for the second time. But this film is different. After watching it for the first time, you can't understand it. You will be eager to see it for the second time and the third time until you understand it. It is like a strong magnetic magnet, which has always attracted you to explore it. I especially admire the director's thinking ability. I have seen AI before, It was the first time I was attracted by him. After so long and watching so many films, I am very honest to tell you that he has not changed. This film also provided me with great inspiration in the creative process. The expression of ""transformation"" and the very artistic treatment also provided me with a lot of good help."
"More fantasy than sci-fi, but in a good way",noxaman,7/10,20 January 2023,"This is at its heart a time travel film, with a twist. As long as you don't try too hard to explain every little detail, the film is an enjoyable spy thriller with a completely original spin.

Upon a second viewing I was surprised to find myself not getting lost in the (now obvious) foreshadowing, but rather the sheer scale of the effort it must have taken to conceptualize and direct such a monster of a story. The movie is a soft-7, but the direction is a solid-10. That is to say, there's no way this story could have been told any better than it was. Telos in film.

Tenet is an obvious passion project, and while it's not my favorite film of the year, it is without a doubt the most innovative and best directed piece I have seen in a long time."
It's one of those films that you beg for it to finish,lucaspvirano,7/10,18 January 2023,"Despite being an entertaining film with a superb sci-fy time-related concept behind and impressive visuals, Tenet is practically unbearable to watch. It expects too much from the audience (and not only on following the convoluted plot). 2 and a 1/2 hours of such high-intensity action is brain-melting. At first said continous intensity makes the movie very appealing but as the plot develops, the mental energy from the audience diminishes. The result? Migraine + the desire of the end of the play.

To sum up, if you are into spionage and action films, you will enjoy it. But if you can't tolerate prolonged unclear action display, you will suffer watching it (as I did). In a nutshell: a peculiar hybrid of a popcorn action film with a high-IQ nolanesque attach."
Too slick and clever.,Pyst_Moo,4/10,16 January 2023,"If you want to spend this amount of time getting a bit of a headache, I'd suggest picking a different activity, it will feel less pretentious.

This films tries way to hard to be slick and clever, and should spend a little more time making the plot work - it's undoubtedly a good idea, but the execution, for me at least, was way to messy.

I've read that it takes a few viewings to really understand all the threads and how they interweave. But, truly, who has time for that when the first viewing wasn't anything I'd want to do again.

Added to that, I wished I'd looked up the cast... this film just adds to my theory that Branagh is the most overrated actor of his generation."
A Flashy Disappointment,BoraGungorTirmis,1/10,15 January 2023,"Christopher Nolan, known for his mind-bending, complex thrillers such as ""Inception"" and ""Memento."" However, in the case of ""Tenet"", it falls short of expectations. The film's plot, while marketed as complex and intricate, is actually quite straightforward and easy to predict. The main character, played by John David Washington, is also not well-developed or relatable.

The film's action scenes and visual effects are well-done, but the music and sound effects are overpowering and can be overwhelming. The film's focus on action and special effects leaves little room for character development, making it a shallow and unsatisfying experience.

Overall, ""Tenet"" is a disappointment. It fails to live up to the high expectations set by Nolan's previous work and falls short as a complex thriller. The film is loud and flashy, but it fails to engage the audience emotionally or intellectually. It's a bad action movie that fails to deliver on its promises."
An action movie that actually engages your brain,Louise1586,10/10,14 January 2023,"The acting is outstanding. Visual effects are top-notch. The score is perfect. Yes, you might have to watch this more than once. But that's my standard for any good movie: you want to see it again, don't you?

Don't watch this expecting a run-of-the-mill popcorn flick. Christopher Nolan makes movies for people who like to use their brains. And thank goodness for that. There are plenty of mindless movies out there with explosions and car chases that require very few neurons.

I have to laugh at the reviews that take aim at how the time travel/inversion doesn't make sense. Unless someone has successfully time traveled, and lived to tell the story, not sure they can really say what ""makes sense"" or not. The idea of time travel (or in this case ""inversion"") is open to creative interpretation. That's the joy of storytelling, isn't it?

In summary: It's not a bad movie just because you don't understand it.

I give it a solid 10/10."
Christopher Nolan is a mastermind,MatthewMichaelHoffman,10/10,14 January 2023,"SCORE: TBD

This is the first time I am not scoring a movie and it is because I still truly do not understand it, but I can I just tell that it's amazing. I've read a few articles on it and even watched a couple YouTube videos, but I still can't fully wrap my head around it. Like many other Nolan films such as Memento and Inception, you aren't going to pick up on everything upon first watch, which still makes him the best and most interesting director in my opinion. However, Tenet is the first of his movies that I just felt completely lost after the first watch. There is something to be said about the human mind and it's power to learn, ultimately becoming the subject matter expect in things we dedicate our time to. It's amazing how smart we can come off when describing something so simple to us, yet so complicated to the other 95% of people we interact with. Christopher Nolan is a mastermind and his ability to come up with stories like this is unparalleled. I know that one day I will fully understand what this movie is about, but until then I will continue to research and try to understand every aspect of it. Whether bad or good, there is no denying the uniqueness of this film and what it does to its audience members."
When you have to do more and more,danimar75,5/10,11 January 2023,"Difficult to handle a paradox. It gave me the impression that he wanted to go the extra mile. Apart from originality, the story seems to me to suffer. Nolan likes to complicate the plots and build a mosaic that realizes a picture only at the end. But in this case I've lost the enjoyment of experiencing the narrative journey in the context of a realization that did not convey credibility to me. So many minutes to say something that perhaps could have been told in a few. There are other topics in modern physics that I would like to see.

The intention to create something new in a film world of sequels is to be commended. But is it so hard to find good inspirations?"
Painful to watch,p-t-watson,3/10,10 January 2023,"I went to see this at the cinema and like most I was completely confused about what was happening.

The story is not that revealing and lots of unobvious sub plotting make it difficult to engage with. What's worse is the sound decisions; low vocal sound, high volume backing soundtrack. This seems to be deliberate but why would you mess with the sound in a movie. It's completely distracting

So I watched it at home and have since read about the main plot which is a pretty original idea. I then wanted to like the movie.

However, the most distracting issue that permeates the movie and prevents me from liking it is John Washington. He has a severe lack of presence, is dry dull and boring. He is a terrible actor, extremely incongruous with the scenes.

His acting is in the same league of the likes of East enders, not a high level movie like Tenet, directed by one the lead directors of the 21st century. What a fail in casting. The decision to cast Washington alongside a much more talented side such as Robert Pattinson is obsurd. Major fail in what could be an insightful movie.

Painful to watch and boring to see so much lead acting with such limited range!"
Hocus Pocus,aalreetmarra,5/10,6 January 2023,"The basic concept of the film is one that we've seen many times before. It's the usual villain in the fight between good and evil and is predictably Russian. This time instead of having a nuclear device to end the world he has an algorithm. An algorithm is an ordered or systematic set of instructions to resolve a problem. Also introduced here is entropy: high entropy disorder, low entropy order, so the concept of the film appears to be a contradiction as the villain is in favor of the high entropy, disorder. The villain goes about achieving his end goal by using an ordered, planned set of instructions contained in the algorithm in his possession. Yes, that is correct; in a nutshell, the concept is simply insane. He achieves his aim by using a time machine called in the script a ""turnstile,"" a very inventively futuristic device that you would come across in many mundane situations in real life. So we have Sator, the villain, married to Kat, played by Elizabeth Debicki, who is the best thing to watch in the film itself. She is in an unhappy marriage, which she wants to get out of, but as we go along in the script, Kat reveals that Sator has terminal pancreatic cancer. Is that not a big error in this story? Why didn't she just wait until he died? Then we have this unnamed CIA operative known as the protagonist, John David Washington. As is customary, a love interest with Kat is introduced, or perhaps this highly trained spy and killer's weak spot is that he just comes undone by any beautiful woman. Yes, apparently this happens a lot in the CIA, L. O. L. In reality, we live on the only known planet in the known universe, which has everything that is needed to sustain all life in our own ordered solar system. The disorder we are seeing now is caused by the antagonists who want to maintain their own order of me first and, in that process, let's get as rich as we can and to hell with the consequences. They are opposed by protagonists who wish to the current state of affairs, which will eventually lead to the destruction of our eco-system and the extinction of all life. Entropy is a scientific concept, just as evolution is an unproven theory, and scientists, clever as they are, will never find or really understand the answer to everything. The universe is constantly recreating itself by expanding, so their constant learning to understand that process will be a game of constant catch-up with no end. The current view appears to be, ""Let's look for another planet because we've trashed this one."" This film's script is basically destroy the past and live in the future so we have in reality nearly achieved the first part. But will there be a future? Only Science Fiction can do that."
