Title,User,Stars,Date,Content
" It's amazing and it drives you crazy
",ahmedyo,8,23 March 2023,"Christopher Nolan is a crazy and insane person. There is no dispute about this. What Nolan is trying to convey to the viewers is an adventure that is difficult to imagine on your own. It is also difficult to imagine its events and facts. It is also difficult to photograph many moments. Fear that my mind will be distracted by this wonderful drama.The story of the film is about the attempt of some people to stop the end of the world. This person is known in this film as the Protagonist, as he does not know anything about the mission or how to end the world except for one word, which is Tenet, and the meaning of this word will appear through the events of the film, but frankly, the aesthetic of talking about this film lies In penetrating the events and talking comfortably about the events of the movie.The photography was aesthetic with things that neither the mind nor the eye could have expected while you were sitting in front of the screen. The photographic ability in this film exceeded many stages and reached a stage of dazzling. It exceeded the choice of angles or even the duration of the shot. We have different dimensions and a new method in how to photograph.The aesthetic of the story is not in asking ourselves what the story is. The aesthetic of the story is in how the story is told and explained. The narrative of the story and the photographic capabilities greatly exceeded the events of the story and anything else in the film, where scientific and physical facts and theories were used that greatly assist in storytelling. They greatly help in explaining the events and how they pass. Events and these scientific theories and physical facts that boggle your mind and drive you crazy have made my eyes stop closing while my time to sleep came."
" Imperfect, Complex, Multiple Viewings Required
",blakechesledon,8,19 March 2023,"Huge Nolan fan here. I would say that Interstellar is not only my favorite movie but in my opinion the single best movie I have ever seen.Tenet is not as good as Interstellar. I respect Nolan for how much he expects of his audience; he wants the people who watch his films to pay close attention to every detail. My problem with that, at least with Tenet, is that even when you watch with subtitles (which is necessary considering how dense some of the dialogue is and how difficult it is to hear at times) AND when you are intently paying attention you can still be completely lost. There are several sequences where if you miss a single line of dialogue, you will have no idea what or why the characters are doing what they are doing in the next scene. I am not a dumb person, but this movie requires several viewings to even hope to understand. I think that is primarily where this movie's faults lie; viewers are punished for even a momentary lapse of attention. I am not a fan of expository dialogue as a general rule, but this movie could have used a few more scenes that explained what was going on.A movie requiring at least two or three viewings can be off-putting to some, and understandably so. But if you do give this movie a couple of chances, it will reward you. Some truly epic, mind-bending action sequences with characters moving forward and backward in time simultaneously. These scenes become more epic once you grasp the idea of inversion. An original plot (relatively, it is essentially a spy movie), and once you have seen it a few times it feels pretty cool to ""get it."" Several orders of magnitude more difficult to follow than Inception, and not quite as good, but still a very good modern action film that isn't about superheroes."
" Not for all, but for some
",ZinedineElbaroni,8,13 March 2023,"Tenet is a cinematic masterpiece that takes you on an exciting and surprising journey through time and space. From the first scene you are immersed in a world of intrigue and danger that keeps you in suspense throughout the film. Be told. The action sequences are really good, and the visual effects are great.The cast is phenomenal, with John David Washington giving an outstanding performance in the lead role. Robert Pattinson and Elizabeth Debicki also excel in their respective roles, bringing depth and nuance to their characters.But what sets Tenet apart is his sheer ambition. This is a movie that demands your full attention and rewards you for it. Challenge.In short, Tenet is a love letter to cinema, an exhilarating ride that pushes the boundaries of what is possible on screen. If you're looking for a breathtaking film that keeps you pondering its mysteries long after the credits roll, look no further than Tenet."
" Damned good try
",xyqkp,7,10 March 2023,"Putting aside the ham-handed effort to explain the physics, which was unavoidable since it's clear no physicist was ever asked to look at the plausibility of the script, the overall premise wasn't awful. The first 30-45 minutes quite muddled the premise by trying to create suspense where there was no need for any yet; choosing to open with a James Bond spy ambience was the wrong choice. And, oddly, in the end the very premise itself completely eliminated any suspense in the ending (because, we knew the world wasn't going to be deleted, so we knew almost to the smallest detail what was going to happen). That's not really a failure on this movie's fault; such circuitous and ""destiny"" oriented premises always run that risk. With such premises you need to look for suspense in some fashion other than the question of whether destiny is real or not. The ""destroy everything or nothing"" premise could not be the key suspense point. If, for example, they'd focused the critical ending question of where the protagonist and the girl would get together, they'd have posed a question that could go either way ... and therefore been suspenseful. I've only ever seen one ""end of the world"" movie where focus successfully stayed on whether the world would end or not ... and surprisingly, it did ... and then more surprisingly, it didn't.Clearly a WHOLE lot of effort was put into thinking through the visual implications of forward/backward time travel. Some very inventive chase and fight scenes, and especially seeing the same sequences played out first in forward time and then again later in reverse time. A huge scripting effort and an even greater, monumental continuity effort. Unfortunately, as one might expect for a task this large and complex, there were quite a few perspective failures. But, perhaps, the greatest failure was in audio. Faces covered in masks (perhaps a bit stupid overkill-one asks why air needed to be reversed when literally nothing else in the forward world needed to be) are fine visualizations, but in a movie this fast paced, all I can say is I'm damned glad I streamed it so I could go back over and over again: in a theater, mumbled clues to a complex story like this is the same thing as not bother to explain anything. People can't concentrate the necessary effort for two hours on hearing, listening, and understanding without getting migraines. The movie was clearly not shown to anyone not already familiar with the premise before editing was complete. The movie would gone up 2 ratings on IMDB if people had actually heard and understood the details of the premise and its implications, but alas far too many reviews were posted here by people who either couldn't spend the effort to understand or wouldn't.Any time you combine a frenzied presentation with a complex premise like time travel with no meaningful opportunity to pause and think, you're just going to lose your audience along the way. And while there were a huge number of time-travel nuances in the closing scenes, I wager most people missed at least half of them.Perhaps I'm a bit of an elitist in thinking I did get them and many others didn't, but that's not exactly the way to maximize your profits making a movie."
" bloated & pretentious
",Chris_Ego,2,9 March 2023,"I have to admit crashing a real plane with practical effects was a highlight, but this doesn't make ""Tenet"" a good action movie. I'd say it's Nolands worst project since this film tries so hard to be unique it gets lost in the sands of its own time. When ""Tenet"" was released in 2020 everybody was hyped about the way how the reverse footage was shot. This is interesting but doesn't look convincing all the time. The fight at the airport is tedious and unwillingly funny, especially when the SWAT like guys are crawling backwards on the floor making funny shoe noises like they played basketball on the school court. The first hour goes by fast and so much happens in this time yet little I did understand. They keep talking too much too fast and Blondie is whispering when she is the one spreading important clues. Nolan fails to star the ""Protagonist"" in a likeable way and therefor the film just presses on without any connection to the lead. Robert Pattinson did a nice job as his sidekick Neil and I am so looking forward to see him starring the ""Batman"". Oops, I lost it there. Yeah, Tenet is a waste of your precious watching time."
" Tall Drink of Water
",sure_man,4,8 March 2023,"Although this was victimized by COVID, even after an impressive pre-release marketing campaign, the film is just not that good. A classic B-movie with an A-level budget, frenetic (bordering on incoherent) editing and a silly spin on searching for horcruxes (reference intended), the moebius strip time spin just didn't really work. Maybe the bonding agents are on the editing room floor somewhere, but I'm sure the book not based on the movie is much for fulfilling and illuminates the internal workings of the characters beyond ""save my child"" and ""I hate life so I'm taking everyone with me"". This is comic book level stuff for a work alleging to be of substance. The character motivations are ridiculously thin and cliched. Much of the monotone dialogue lacks punch and vitality. For all the pretension, this is nothing more than smoke and mirrors."
" A Mind-Bending and Spectacular Spy Thriller
",FilmFanatic2023,8,4 March 2023,"Tenet is a sci-fi action film directed by Christopher Nolan that revolves around a secret agent who uses time inversion to prevent a global catastrophe. The film is a dazzling display of Nolan's signature style, featuring stunning visuals, complex plot twists, and thrilling action sequences. The film also explores themes of free will, fate, and entropy. John David Washington leads the cast as the Protagonist, a charismatic and skilled spy who teams up with Neil (Robert Pattinson), a mysterious ally. Kenneth Branagh plays Andrei Sator, a ruthless Russian oligarch who seeks to destroy the world.I enjoyed Tenet for its ambitious and original concept, its impressive cinematography, its exhilarating pace, and its clever dialogue. I think Christopher Nolan delivered another masterpiece that challenges and entertains the audience. I would recommend Tenet to fans of sci-fi who appreciate a fast-paced and intricate film that requires multiple viewings to fully understand."
" Another masterpiece crafted by the one and only Christopher Nolan
",Nicholas_HY,10,20 February 2023,"My only regret was not watching this in the theatres. Well, streaming this has its own advantages like you can rewind and watch the specific scene's ""before and after."" I find that most of the bad reviews talk about the plot and while I agree that the plot will be confusing for a majority of the people but once you get a grasp of it you will awe and appreciate this even more. Even the soundtrack was just perfect for this movie, I'm actually glad that Nolan didn't use Zimmer for this project because his style wasn't suitable. While the action sequences are decent, I'd recommend this movie for its story and plot because I myself enjoys a good intricate mystery/thriller stuffs. Nolan is truly one of the best of our time."
" Another amazing film by Christopher Nolan
",Reviewosaurus,9,19 February 2023,"After a near-death experience during a CIA operation, the Protagonist is recruited to join a government organization called Tenet, tasked with preventing World World III. The time inversion aspect of the film was so interesting and different; I've never seen anything like it in another film. You will probably be confused throughout the movie, but by the end, everything comes together. I like how the characters were portrayed and written, but one thing I felt this movie was lacking was a solid antagonist. I love this film, it's mind-blowing, gripping, and thought-provoking, and I would highly recommend it."
" Worth to watch
",giedriavas,8,17 February 2023,"A film will discover both fans and those who will enjoy less. Nolan is trying to apply the ideas we saw in his previous fantastic films,but also discovered something new - what is worth seeing in cinema and seeing more than once at home. Without telling the story of the film,one can only ask questions - what if onr way or another ? So the film is kind of divided into two parts. It is necessary and possible to watch from the very first minutes and you will get into the story perfectly. Fun to see know or lesser known actors ,becouse in the movie a lot of action,well that charisma was even more. After movie the music track was not known to me,but when i heard it in cinema after movie..damn... the whirlwinds were walking for generations."
" A movie that bit more than it could chew
",dargosmunteanu,8,17 February 2023,"The concept behind Tenet is a very interesting one, but also very difficult to implement in a movie and probably even more important, vaguely explained and expanded upon throughout the runtime. That last bit is probably its downfall, stated rules that govern its function aren't consistently abided by, making the whole adventure sketchy at best.Acting was good, action scenes were interesting, the story could've been solid if the whole time-traveling mechanic would've been treated in a more traditional manner.It may not have ended up being a high concept sci-fi movie, but it would've been a more consistent and, overall, ejoyable long (yeah, a bit too long, maybe?) cinematic experience.Worth the watch, but it may require of you to fill in a lot of blanks that the writers and technology left within it."
" Phantasy of a genius director but a plain movie
",furkankilickap,8,14 February 2023,"Christopher Nolan's filmography has, in my view, a registered position in the history of cinema; however, with this movie Nolan cannot carry himself further when we compare Tenet with his former works, most of which had box office-recorded movies.There is an unique idea about ""time inverting"" but the idea is not fit on the action based story which has full of cliches. Concept of inverting can be easy to understand from the perspective of Nolan undoubtedly, but I'm sure that audience may have difficulty to understand the idea scene by scene upon the actions of the characters or from the story because action genre has fast-paced storytelling; nonetheless, you can get the idea and what Nolan is trying to say in general. So I agree with some critics saying that Nolan made this movie just for himself.Besides, background of the characters are empty unfortunately. You cannot feel empathy for the protagonist or cannot understand the motivation of some characters to a certain extent but performances of actresses & actors quite well - especially John David Washington.From cinematographic and musical perspectives, the movie makes real the atmosphere and the world. For the last five years Hoyte Van Hoytema (DP) and Ludwig Göransson (composer) have the names proved themselves in their professions, and they deserve some credits specifically for this movie.Although Tenet has full of bad criticism according to a stereotypical action based movie, you can feel the magical and dazzling touch of a master director with an idea that wasn't thought before. Therefore, the movie deserves to be watched & a score above average.TRIVIA: Contains no green screens, just practical effects. This includes the inversion sequences, for which director Christopher Nolan chose instead to shoot each scene twice: one time moving forward, and once with the actors doing everything backward. (BIND BLOWING DIRECTING 101)"
" Loud and impenetrable
",Quinoa_Chris_Kirk,1,8 February 2023,"A man on an international mission to save the world from the deadliest weapon of all, the future.Two moods: excessive incomprehensible exposition and LOUD incomprehensible action sequences. At no point do you know what is going on, nor are you given any reason to care. It is at all times tedious, meaningless and irritating. None of the characters are remotely interesting, much of the dialogue is inaudible and the ridiculous convolutions add up to nothing. And this cost over $200 million to make.Here Nolan has retreated deeply, unpleasantly and unforgivably into his own idiosyncrasy and left his loyal audience scrambling to come up with excuses for him."
" Didn't finish watching it !!!
",jayydee3,5,5 February 2023,"The main actor is not great. Mumbles his words, his appearance doesn't fit in with the people he is dealing with and no class. Not a James Bond type at all. The story was confusing and and far too long to keep your attention. Not exciting and certainly not believable as far as the main actor went. I think it had the makings of a very good file if the casting had been different in the main roles. This turned out to be just a mess. I got to the point that I just couldn't watch it any further and turned it off. Could have been much better with some more experienced actors and
a better script. All in all very poorly done movie."
" Too clever for its own good - just as another reviewer said
",kambomambos,2,5 February 2023,"Had potential but way too complicated. Had to watch with subtitles and continuously rewind to work out what was going on - even then we were unclear. If it was simplified a little and the dialogue made clearer (in every way) it would have been much more enjoyable. Put aside an extra hour for stopping and rewinding if you're gonna watch this one.Well acted and characters were solid but if you can't hear what they are saying, particularly when they are talking non-sensical physics and time travel it's very difficult to follow. Good cast, great effects but without clarity it's unfortunately a frustrating waste of three hours."
